Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
stack_upper_house_liberationist_title;Stack Upper-House with Liberationists;;;;;;;;;;;;;x
stack_upper_house_liberationist_desc;In recent months our executive agenda has been entirely stymied by the uncooperative legislature of our government, and the ruling party is unable to govern freely, and remake the nation in its image. After many contentious negotiations, it seems constitutionally possible that we could stack the upper house and create enough members such that we could force our own legislative agenda through the executive. However, this would be sure to cause massive political uproar. For while this isn’t strictly unconstitutional, it goes against the spirit of our laws, and all accepted political tradition. Those endorsing opposing ideologies are sure to be enraged, and we are sure to suffer some international humiliation as well for our untamed legislature. This would have to be carefully done, but it will allow us, on the other hand, to pass most reforms the current government feels are desperately needed for the health of the nation.;;;;;;;;;;;;;x
stack_upper_house_free_yoker_title;Stack Upper-House with Free-Yokers;;;;;;;;;;;;;x
stack_upper_house_free_yoker_desc;In recent months our executive agenda has been entirely stymied by the uncooperative legislature of our government, and the ruling party is unable to govern freely, and remake the nation in its image. After many contentious negotiations, it seems constitutionally possible that we could stack the upper house and create enough members such that we could force our own legislative agenda through the executive. However, this would be sure to cause massive political uproar. For while this isn’t strictly unconstitutional, it goes against the spirit of our laws, and all accepted political tradition. Those endorsing opposing ideologies are sure to be enraged, and we are sure to suffer some international humiliation as well for our untamed legislature. This would have to be carefully done, but it will allow us, on the other hand, to pass most reforms the current government feels are desperately needed for the health of the nation.;;;;;;;;;;;;;x
stack_upper_house_reactionary_title;Stack Upper-House with Reactionaries;;;;;;;;;;;;;x
stack_upper_house_reactionary_desc;In recent months our executive agenda has been entirely stymied by the uncooperative legislature of our government, and the ruling party is unable to govern freely, and remake the nation in its image. After many contentious negotiations, it seems constitutionally possible that we could stack the upper house and create enough members such that we could force our own legislative agenda through the executive. However, this would be sure to cause massive political uproar. For while this isn’t strictly unconstitutional, it goes against the spirit of our laws, and all accepted political tradition. Those endorsing opposing ideologies are sure to be enraged, and we are sure to suffer some international humiliation as well for our untamed legislature. This would have to be carefully done, but it will allow us, on the other hand, to pass most reforms the current government feels are desperately needed for the health of the nation.;;;;;;;;;;;;;x
stack_upper_house_statist_title;Stack Upper-House with Statists;;;;;;;;;;;;;x
stack_upper_house_statist_desc;In recent months our executive agenda has been entirely stymied by the uncooperative legislature of our government, and the ruling party is unable to govern freely, and remake the nation in its image. After many contentious negotiations, it seems constitutionally possible that we could stack the upper house and create enough members such that we could force our own legislative agenda through the executive. However, this would be sure to cause massive political uproar. For while this isn’t strictly unconstitutional, it goes against the spirit of our laws, and all accepted political tradition. Those endorsing opposing ideologies are sure to be enraged, and we are sure to suffer some international humiliation as well for our untamed legislature. This would have to be carefully done, but it will allow us, on the other hand, to pass most reforms the current government feels are desperately needed for the health of the nation.;;;;;;;;;;;;;x
stack_upper_house_absolutist_title;Stack Upper-House with Absolutists;;;;;;;;;;;;;x
stack_upper_house_absolutist_desc;In recent months our executive agenda has been entirely stymied by the uncooperative legislature of our government, and the ruling party is unable to govern freely, and remake the nation in its image. After many contentious negotiations, it seems constitutionally possible that we could stack the upper house and create enough members such that we could force our own legislative agenda through the executive. However, this would be sure to cause massive political uproar. For while this isn’t strictly unconstitutional, it goes against the spirit of our laws, and all accepted political tradition. Those endorsing opposing ideologies are sure to be enraged, and we are sure to suffer some international humiliation as well for our untamed legislature. This would have to be carefully done, but it will allow us, on the other hand, to pass most reforms the current government feels are desperately needed for the health of the nation.;;;;;;;;;;;;;x
